Date	RMRFEU	SMBEU	HMLEU	WMLEU	RMRFNA	SMBNA	HMLNA	WMLNA	RMRFJAP	SMBJAP	HMLJAP	WMLJAP
01.06.2000	0.68	0	3.21	-0.52	3.66	10.27	-10.34	17.48	5.92	1.99	6.11	-4.92
01.07.2000	-1.58	-1.03	3.3	-1.03	-2.24	-3.79	9.29	-4.32	-12.28	-0.92	4.49	-6.74
01.08.2000	-1.57	0.87	-0.38	3.29	7.12	0.47	-1.77	8.46	6.46	1.48	-3.51	8.66
01.09.2000	-4.99	2	2.64	-4.09	-5.36	-1.27	9.58	-4.47	-4.82	-3.14	6.05	-1.41
01.10.2000	-2.7	-6.96	7.63	-4.79	-2.89	-4.95	7.02	-7.85	-7.57	-6.22	7.96	-4.03
01.11.2000	-4.55	-1.41	11.16	-4.99	-10.31	-4.85	16.01	-11.87	-3.03	1.13	5.81	-0.52
01.12.2000	5.68	0.42	3.32	0.87	1.5	2.67	10.96	4.87	-9.89	-1.37	7.79	1.97
01.01.2001	0.39	1.74	0.69	-6.64	3.25	5.71	-8.68	-22.28	-0.79	1.4	-5.79	-5.69
01.02.2001	-8.69	4.72	9.42	7.67	-9.77	-2.04	17.58	10.92	-5.52	4.7	6.26	1.72
01.03.2001	-9.34	-1.03	5.83	4.01	-7.32	-0.98	10.49	8.23	-4.21	0.58	0.51	0.01
01.04.2001	7.4	-3.79	-3.15	-4.07	7.66	2.2	-8.31	-8.85	8.7	0.16	4.71	1.37
01.05.2001	-5.03	2.64	4.23	6.66	0.84	3.03	1.92	2.24	-0.13	2.87	-0.79	2.41
01.06.2001	-3.65	-1	6.21	9.45	-1.95	4.58	0.2	0.4	-5.34	1.06	6.47	6.71
01.07.2001	-0.7	-2.21	3.81	1.52	-2.17	-4.6	3.15	5.72	-8.93	-1.45	6.41	6.06
01.08.2001	-2.03	2.04	4.14	8.23	-6.3	1	3.92	6.21	-2.71	1.75	8.24	6.92
01.09.2001	-11.56	-5.25	2.34	9.81	-9.37	-6.12	1.66	11.37	-7.69	-1.01	-0.32	1.4
01.10.2001	3.24	1.79	-3.29	-6.66	2.41	6.97	-7.06	-7.31	0.8	3.02	-4.54	-2.24
01.11.2001	4.09	1.8	-1.1	-9.67	7.74	0.34	-0.8	-8.66	-1.8	-3.46	-3.2	-5.91
01.12.2001	1.82	-1.83	1.4	2.73	1.67	4.85	1.57	0.2	-8.23	-3.72	1.64	4.27
01.01.2002	-4.7	2.94	1.83	5.97	-1.61	-0.32	3.24	3.8	-7.82	1.94	1.53	-1.45
