Date	ABB	Actelion	Adecco	Alusuisse	Baloise	Ciba_SC	Ciba_Geigy_I	Ciba_Geigy_PS	Clariant	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Credit_Suisse_Holding	Elektrowatt	EMS_Chemie_Holding	Geberit	Georg_Fischer	Givaudan	Holcim	Jacobs_Suchard	Julius_Baer_Group	Kudelski	LafargeHolcim	Lonza_Group	Merck_Serono	Nestle_I	Nestle_PS	Nobel_Biocare_Holding	Novartis_I	Novartis_N	OC_Oerlikon_Corporation	Pargesa_Holding	Roche_Holding	SAirGroup	Sandoz_PS	Sandoz_N	Schweizerische_Volksbank_StN	Schweizerische_Volksbank_ST	SGS	Sika	Societe_Internationale_Pirelli	Sulzer	Swiss_Bank_I	Swiss_Bank_PS	Swiss_Bank_N	Swiss_Life_Holding_I	Swiss_Life_Holding_N	Swiss_Re	Swissair	Swisscom	Syngenta	Synthes	The_Swatch_Group_I	The_Swatch_Group_N	Transocean	UBS_N	UBS_PS	UBS_I	Winterthur	Zurich_Insurance_Group_I	Zurich_Insurance_Group_N
1994-05-30	0.540471682	NA	NA	0.804399437	NA	NA	0.960507109	1.025563745	NA	NA	NA	1.460707093	0.535223269	NA	NA	NA	NA	0.835422455	NA	NA	NA	NA	NA	NA	NA	0.928777895	NA	NA	NA	NA	NA	0.916153897	NA	NA	0.834855284	NA	NA	NA	NA	NA	NA	1.306200677	NA	1.276671351	NA	NA	1.061710339	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.050307577	1.062437348	0.934525832	NA
1994-05-31	0.542859329	NA	NA	0.809711128	NA	NA	0.960767465	1.026898652	NA	NA	NA	1.46252623	0.532864881	NA	NA	NA	NA	0.830657331	NA	NA	NA	NA	NA	NA	NA	0.923360043	NA	NA	NA	NA	NA	0.913439043	NA	NA	0.834686043	NA	NA	NA	NA	NA	NA	1.303508268	NA	1.271251487	NA	NA	1.061516922	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.046602919	1.06950002	0.932337663	NA
1994-06-01	0.542517023	NA	NA	0.809311399	NA	NA	0.959588657	1.026455234	NA	NA	NA	1.468871165	0.532975969	NA	NA	NA	NA	0.827942815	NA	NA	NA	NA	NA	NA	NA	0.924372602	NA	NA	NA	NA	NA	0.914725483	NA	NA	0.835020536	NA	NA	NA	NA	NA	NA	1.304495277	NA	1.271689148	NA	NA	1.062019376	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04873501	1.073223548	0.932351141	NA
1994-06-02	0.546450611	NA	NA	0.81166724	NA	NA	0.962099566	1.02869463	NA	NA	NA	1.489002247	0.53319554	NA	NA	NA	NA	0.831029965	NA	NA	NA	NA	NA	NA	NA	0.925699961	NA	NA	NA	NA	NA	0.915836125	NA	NA	0.835336595	NA	NA	NA	NA	NA	NA	1.305860709	NA	1.272255878	NA	NA	1.064506639	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.049918953	1.071045938	0.927515535	NA
1994-06-03	0.55166733	NA	NA	0.818273672	NA	NA	0.96487824	1.030388634	NA	NA	NA	1.506487991	0.535989352	NA	NA	NA	NA	0.838747881	NA	NA	NA	NA	NA	NA	NA	0.928863607	NA	NA	NA	NA	NA	0.920105628	NA	NA	0.836928579	NA	NA	NA	NA	NA	NA	1.309278302	NA	1.270254958	NA	NA	1.070203619	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.052919498	1.071074655	0.926419728	NA
1994-06-06	0.54492335	NA	NA	0.816945475	NA	NA	0.947134959	1.016625063	NA	NA	NA	1.295619132	0.555586714	NA	NA	NA	NA	0.847870441	NA	NA	NA	NA	NA	NA	NA	0.927496605	NA	NA	NA	NA	NA	0.93099506	NA	NA	0.832975008	NA	NA	NA	NA	NA	NA	1.313072667	NA	1.285544671	NA	NA	1.076027223	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.053249728	1.082353584	0.922489507	NA
1994-06-07	0.54531277	NA	NA	0.815279854	NA	NA	0.950907229	1.01779616	NA	NA	NA	1.308550599	0.552468213	NA	NA	NA	NA	0.850486164	NA	NA	NA	NA	NA	NA	NA	0.92453205	NA	NA	NA	NA	NA	0.928677617	NA	NA	0.829568475	NA	NA	NA	NA	NA	NA	1.314792401	NA	1.286115441	NA	NA	1.076273237	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.050008595	1.076407459	0.917858388	NA
1994-06-08	0.544172626	NA	NA	0.816715456	NA	NA	0.950374925	1.0157103	NA	NA	NA	1.309656117	0.557491943	NA	NA	NA	NA	0.846351136	NA	NA	NA	NA	NA	NA	NA	0.930627428	NA	NA	NA	NA	NA	0.92828094	NA	NA	0.835411342	NA	NA	NA	NA	NA	NA	1.316617554	NA	1.286274682	NA	NA	1.07351834	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.043925734	1.081617262	0.91098336	NA
1994-06-09	0.54401155	NA	NA	0.816016016	NA	NA	0.957661881	1.021938856	NA	NA	NA	1.315588214	0.549571947	NA	NA	NA	NA	0.84350757	NA	NA	NA	NA	NA	NA	NA	0.929007514	NA	NA	NA	NA	NA	0.933058839	NA	NA	0.830555583	NA	NA	NA	NA	NA	NA	1.319146134	NA	1.286998368	NA	NA	1.0725489	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.045685246	1.080812732	0.909930193	NA
1994-06-10	0.544991775	NA	NA	0.813827514	NA	NA	0.954569003	1.019246357	NA	NA	NA	1.322957337	0.548745172	NA	NA	NA	NA	0.841942162	NA	NA	NA	NA	NA	NA	NA	0.930412335	NA	NA	NA	NA	NA	0.932866911	NA	NA	0.828768406	NA	NA	NA	NA	NA	NA	1.321573437	NA	1.288205077	NA	NA	1.073383619	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.048133793	1.079605475	0.911046378	NA
